HEALTH_CENTER,HEALTH_CENTER_CODE,ADDRESS,STREET_NAME,SUFX,CITY,STATE,ZIPCODE,PHONE,CARE_TYPE,MONDAY_OPEN,MONDAY_CLOSE,TUESDAY_OPEN,TUESDAY_CLOSE,WEDNESDAY_OPEN,WEDNESDAY_CLOSE,THURSDAY_OPEN,THURSDAY_CLOSE,FRIDAY_OPEN,FRIDAY_CLOSE,SPECIAL_HOURS_NOTES,SERVICES_PROVIDED,CENTER_DESCRIPTION,INSURANCE_ACCEPTED,TITLE_X_SERVICES,NEIGHBORHOOD,LATITUDE,LONGITUDE,ADULT,PEDIATRICS,OB,NURSING_SERVICES,LAB,IMMUNIZATIONS,OUTREACH_ENROLLMENT_SERVICES,GYN,STI_TESTING,PHARMACY,DIABETIC_EDUCATION,WIC,BEHAVIORAL_HEALTH,SAFE_PLACE
Ambrose H. Clement Health Center,CCPC AMBROSE CLEMENT,3559 Reading Road Suite 101,BURNET,AV,CINCINNATI,OH,"45,229",513-357-7300,MEDICAL,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,Walk-In Appointments for STI Testing Available.,"Adult medicine, Pediatrics, OB/GYN (incl. Title X), Nursing Services, Immunizations, Lab, Outreach and enrollment assistance",This site is a Federally Qualified Health Center in the Cincinnati Health Department network of Health Centers. These health centers serve the medical needs of children and families in the community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",Yes,AVONDALE,39.1466106981528,-84.4903228441219,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,
Aiken High School Health Center,CCPC AIKEN SBHC,5641 BELMONT AV,BELMONT,AV,CINCINNATI,OH,"45,224",513-363-6758,SCHOOL & ADOLESCENT HEALTH,7:30 AM,4:00 PM,7:30 AM,4:00 PM,7:30 AM,4:00 PM,7:30 AM,4:00 PM,7:30 AM,4:00 PM,CLOSED FOR SUMMER - Please contact 357-2815 for an appointment,"Pediatrics, GYN, STI Testing, Nursing Services, Immunizations, Outreach and enrollment services",School Based Health Centers are full service Cincinnati Health Department clinics located in Cincinnati Public Schools. These clinics serve the medical needs of children and families in the school and community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,COLLEGE HILL,39.1923490782486,-84.5502821959505,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,
Academy of World Languages School Health Center,CCPC AWL SBHC,2030 FAIRFAX AV,FAIRFAX,AV,CINCINNATI,OH,"45,207",513-363-7843,SCHOOL & ADOLESCENT HEALTH,8:00 AM,4:00 PM,8:00 AM,4:00 PM,,,8:00 AM,4:00 PM,,,CLOSED FOR SUMMER - Please contact 357-2815 for an appointment,"Pediatrics, GYN, STI Testing, Nursing Services, Immunizations, Outreach and enrollment services",School Based Health Centers are full service Cincinnati Health Department clinics located in Cincinnati Public Schools. These clinics serve the medical needs of children and families in the school and community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,EVANSTON,39.1354761949146,-84.462022667845,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,
Academy of World Languages School Health Center: Dental,CCPC AWL DENTAL,2030 FAIRFAX AV,FAIRFAX,AV,CINCINNATI,OH,"45,207",513-363-7843,SCHOOL & ADOLESCENT HEALTH: DENTAL,7:30 AM,3:30 PM,7:30 AM,3:30 PM,7:30 AM,3:30 PM,7:30 AM,3:30 PM,7:30 AM,3:30 PM,,,,,,EVANSTON,39.1354761949146,-84.462022667845,,,,,,,,,,,,,,
Academy of World Languages School Health Center: Vision,CCPC AWL VISION,2030 FAIRFAX AV,FAIRFAX,AV,CINCINNATI,OH,"45,207",513-363-7858,VISION,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,,,,,,EVANSTON,39.1354761949146,-84.462022667845,,,,,,,,,,,,,,
Braxton F. Cann Memorial Medical Center,CCPC BRAXTON CANN,5818 MADISON RD,MADISON,RD,CINCINNATI,OH,"45,227",513-263-8750,MEDICAL,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,10:00 AM,7:00 PM,8:00 AM,5:00 PM,First Tuesday of each month hours are 1-5pm; Third Friday of each month closed from 8-10am,"Adult medicine, Pediatrics, OB/GYN (incl. Title X), Nursing Services, Pharmacy, Diabetic Education, Immunizations, WIC, Behavioral Health, Lab, Outreach and enrollment assistance",This site is a Federally Qualified Health Center in the Cincinnati Health Department network of Health Centers. These health centers serve the medical needs of children and families in the community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",Yes,MADISONVILLE,39.1609677185286,-84.3936885840699,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Citylink Center Dental Health Care,CCPC CITYLINK DENTAL,800 BANK ST,BANK,ST,CINCINNATI,OH,"45,214",513-357-2000,DENTAL,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,8:30 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,,"Adults and children dental services (cleanings, fillings, extractions and dentures)",Community Health Center Dental sites provide comprehensive general dental services.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,WEST END,39.1198528666867,-84.5274232449952,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,
Citylink Center Vision Health Care,CCPC CITYLINK VISION,800 BANK ST,BANK,ST,CINCINNATI,OH,"45,214",513-357-2000,VISION,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,8:30 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,Saturday hours only second and fourth Saturdays of the month: April - October,Vision Services,,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,WEST END,39.1198528666867,-84.5274232449952,Yes,No,No,No,No,No,No,No,No,No,No,No,No,
Crest Smile Shoppe,CCPC CREST SMILE,612 ROCKDALE AV,ROCKDALE,AV,CINCINNATI,OH,"45,229",513-352-4072,DENTAL,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,1:30 PM,,"Adults and children dental services (cleanings, fillings, extractions and dentures)","Community Health Center Dental sites provide comprehensive general dental services. They also accept walk-in emergencies most morning at 7:00am, call for details","We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,AVONDALE,39.1449164684636,-84.4946234460191,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,
Bobbie Sterne Health Center Dental,CCPC ELM ST DENTAL,1525 ELM ST,ELM,ST,CINCINNATI,OH,"45,202",513-352-2927,DENTAL,7:00 AM,6:30 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,12:00 PM,,"Adults and children dental services (cleanings, fillings, extractions and dentures)","Community Health Center Dental sites provide comprehensive general dental services. They also accept walk-in emergencies most morning at 7:00am, call for details","We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,OVER-THE-RHINE,39.1121879255939,-84.5193939667898,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,
Bobbie Sterne Health Center,CCPC ELM ST.,1525 ELM ST,ELM,ST,CINCINNATI,OH,"45,202",513-352-3092,MEDICAL,10:00 AM,7:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,"Closed 1st Tuesday of every month (8-1pm), and 3rd Thursday of every month (8-9am)","Adult medicine, Pediatrics, OB/GYN (incl. Title X), Nursing Services, Pharmacy, Diabetic Education, Dental, Immunizations, WIC, Behavioral Health, Lab, Outreach and enrollment assistance",This site is a Federally Qualified Health Center in the Cincinnati Health Department network of Health Centers. These health centers serve the medical needs of children and families in the community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",Yes,OVER-THE-RHINE,39.1121879255939,-84.5193939667898,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Ethel M. Taylor Academy Health Center,CCPC ETHEL TAYLOR SBH,1930 FRICKE RD,FRICKE,RD,CINCINNATI,OH,"45,225",513-363-3645,SCHOOL & ADOLESCENT HEALTH,,,8:00 AM,4:00 PM,,,8:00 AM,4:00 PM,8:00 AM,4:00 PM,CLOSED FOR SUMMER - Please contact 357-2815 for an appointment,"Pediatrics, GYN, STI Testing, Nursing Services, Immunizations, Outreach and enrollment services",School Based Health Centers are full service Cincinnati Health Department clinics located in Cincinnati Public Schools. These clinics serve the medical needs of children and families in the school and community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,MILLVALE,39.1474362962906,-84.55213878,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,
John P. Parker Health Center,CCPC JOHN P PARKER,5051 ANDERSON PL,ANDERSON,PL,CINCINNATI,OH,"45,227",513-363-2921,SCHOOL & ADOLESCENT HEALTH,,,,,8:00 AM,2:30 PM,,,,,CLOSED FOR SUMMER - Please contact 357-2815 for an appointment,"Pediatrics, GYN, STI Testing, Nursing Services, Immunizations, Outreach and enrollment services",School Based Health Centers are full service Cincinnati Health Department clinics located in Cincinnati Public Schools. These clinics serve the medical needs of children and families in the school and community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,MADISONVILLE,39.1630347371226,-84.4003767349195,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,
Millvale at Hopple Street Health Center,CCPC MILLVALE,2750 BEEKMAN ST,BEEKMAN,ST,CINCINNATI,OH,"45,225",513-352-3192,MEDICAL,9:00 AM,6:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,"First Tuesday of each month, hours are 1-5 pm ; Social Worker Wednesdays only  Saturday hours 8am-12 noon, no pharmacy available on Saturdays","Adult medicine, Pediatrics, OB/GYN (incl. Title X), Nursing Services, Pharmacy, Diabetic Education, Dental, Immunizations, WIC, Behavioral Health, Lab, Outreach and enrollment assistance",Full service primary care health center located in the Millvale community providing medical services to children and familes in this community and surrounding communites as well as the refugee ppoulation.,"Medicaid (CareSource, Molina, United Health Care, Buckeye, Paramount), Medicare, Self-Pay",Yes,NORTH FAIRMOUNT,39.1359521051012,-84.5472615653847,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Millvale at Hopple Street Health Center: Dental,CCPC MILLVALE DENTAL,2750 BEEKMAN ST,BEEKMAN,AV,CINCINNATI,OH,"45,225",513-352-3196,DENTAL,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,1:30 PM,,"Adults and children dental services (cleanings, fillings, extractions and dentures)","Community Health Center Dental sites provide comprehensive general dental services. They also accept walk-in emergencies most morning at 7:00am, call for details","We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,NORTH FAIRMOUNT,39.1359521051012,-84.5472615653847,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,
Mt. Airy School Health Center,CCPC MT AIRY SBHC,5730 COLERAIN AV,COLERAIN,AV,CINCINNATI,OH,"45,239",513-363-3765,SCHOOL & ADOLESCENT HEALTH,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,CLOSED FOR SUMMER - Please contact 357-2815 for an appointment,"Pediatrics, GYN, STI Testing, Nursing Services, Immunizations, Outreach and enrollment services",School Based Health Centers are full service Cincinnati Health Department clinics located in Cincinnati Public Schools. These clinics serve the medical needs of children and families in the school and community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,MT. AIRY,39.1983603784319,-84.5766144763165,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,
Northside Health Center,CCPC NORTHSIDE,3917 SPRING GROVE AV,SPRING GROVE,AV,CINCINNATI,OH,"45,223",513-357-7600,MEDICAL,8:00 AM,5:00 PM,10:00 AM,7:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,"First Tuesday of each month, 9 AM - 6 PM","Adult medicine, Pediatrics, OB/GYN (incl. Title X), Nursing Services, Pharmacy, Diabetic Education, Dental, Immunizations, WIC, Behavioral Health, Lab, Outreach and enrollment assistance",This site is a Federally Qualified Health Center in the Cincinnati Health Department network of Health Centers. These health centers serve the medical needs of children and families in the community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",Yes,NORTHSIDE,39.1574371940226,-84.5406292383239,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,
Northside Health Center: Dental,CCPC NORTHSIDE DENTAL,3917 SPRING GROVE AV,SPRING GROVE,AV,CINCINNATI,OH,"45,223",513-357-7610,DENTAL,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,1:30 PM,,"Adults and children dental services (cleanings, fillings, extractions and dentures)","Community Health Center Dental sites provide comprehensive general dental services. They also accept walk-in emergencies most morning at 7:00am, call for details","We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,NORTHSIDE,39.1574371940226,-84.5406292383239,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,
Oyler Dental Health Center,CCPC OYLER DENTAL,2121 HATMAKER ST,HATMAKER,ST,CINCINNATI,OH,"45,204",513-363-4182,SCHOOL & ADOLESCENT HEALTH: DENTAL,7:45 AM,2:15 PM,7:45 AM,2:15 PM,7:45 AM,2:15 PM,7:45 AM,2:15 PM,7:45 AM,2:15 PM,,"Children dental services (cleanings, fillings, extractions)",School Based Health Centers are full service Cincinnati Health Department clinics located in Cincinnati Public Schools. These clinics serve the medical needs of children and families in the school and community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,LOWER PRICE HILL,39.1040640023972,-84.5517788613095,No,No,No,No,No,No,No,No,No,No,No,No,No,
Oyler School Health Center,CCPC OYLER SBHC,2121 HATMAKER ST,HATMAKER,ST,CINCINNATI,OH,"45,204",513-363-4182,SCHOOL & ADOLESCENT HEALTH,7:45 AM,4:00 PM,7:45 AM,4:00 PM,7:45 AM,4:00 PM,7:45 AM,4:00 PM,7:45 AM,4:00 PM,CLOSED FOR SUMMER - Please contact 357-2815 for an appointment,"Pediatrics, GYN, STI Testing, Nursing Services, Immunizations, Outreach and enrollment services",School Based Health Centers are full service Cincinnati Health Department clinics located in Cincinnati Public Schools. These clinics serve the medical needs of children and families in the school and community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,LOWER PRICE HILL,39.1040640023972,-84.5517788613095,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,
Oyler Vision Center,CCPC OYLER VISION CTR,2121 HATMAKER ST,HATMAKER,ST,CINCINNATI,OH,"45,204",513-363-4195,VISION,7:45 AM,4:00 PM,7:45 AM,4:00 PM,7:45 AM,4:00 PM,7:45 AM,4:00 PM,7:45 AM,4:00 PM,CLOSED FOR SUMMER,Vision Services,School Based Health Centers are full service Cincinnati Health Department clinics located in Cincinnati Public Schools. These clinics serve the medical needs of children and families in the school and community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,LOWER PRICE HILL,39.1040640023972,-84.5517788613095,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,
Price Hill Health Center,CCPC PRICE HILL,2136 W 8TH ST,W 8TH,ST,CINCINNATI,OH,"45,204",513-357-2700,MEDICAL,8:00 AM,5:00 PM,8:00 AM,5:00 PM,10:00 AM,7:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,,"Adult medicine, Pediatrics, OB/GYN (incl. Title X), Nursing Services, Pharmacy, Diabetic Education, Dental, Immunizations, WIC, Behavioral Health, Lab, Outreach and enrollment assistance","Price Hill Health Center is a full service Cincinnati Health Department health center. PHHC serves the needs of adults, children and ob/gyn patients.","We accept Medicaid, Caresource, Molina, Buckeye, Paramount, United, Medicare and some private insurance. We also accept patients without insurance.",Yes,LOWER PRICE HILL,39.1056450786952,-84.5524352850177,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no,
Price Hill Health Center: Dental,CCPC PRICE HILL DENTA,2136 W 8TH ST,W 8TH,ST,CINCINNATI,OH,"45,204",513-357-2704,DENTAL,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,5:00 PM,7:00 AM,1:30 PM,,"Adults and children dental services (cleanings, fillings, extractions and dentures)","Community Health Center Dental sites provide comprehensive general dental services. They also accept walk-in emergencies most morning at 7:00am, call for details","We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,LOWER PRICE HILL,39.1056450786952,-84.5524352850177,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,
Riverview East School Health Center,CCPC RIVERVIEW EAST,3555 KELLOGG AV,KELLOGG,AV,CINCINNATI,OH,"45,226",513-363-3476,SCHOOL & ADOLESCENT HEALTH,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,5:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,Open year round.  Open to students at Riverview and community,"Adult medicine, Pediatrics, Immunizations, Lab, Outreach and enrollment assistance; SBHC",School Based Health Centers are full service Cincinnati Health Department clinics located in Cincinnati Public Schools. These clinics serve the medical needs of children and families in the school and community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,EAST END,39.1138731284381,-84.4408573767537,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,
Roll Hill Academy Health Center,CCPC ROLL HILL ACADEM,2411 BALTIMORE AV,BALTIMORE,AV,CINCINNATI,OH,"45,225",513-363-4018,SCHOOL & ADOLESCENT HEALTH,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,,,CLOSED FOR SUMMER - Please contact 357-2815 for an appointment,"Pediatrics, GYN, STI Testing, Nursing Services, Immunizations, Outreach and enrollment services",School Based Health Centers are full service Cincinnati Health Department clinics located in Cincinnati Public Schools. These clinics serve the medical needs of children and families in the school and community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,EAST WESTWOOD,39.1536750365611,-84.5645712993874,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,
Roberts Paideia Academy Health Center,CCPC RP ACADEMY SBHC,1702 GRAND AV,GRAND,AV,CINCINNATI,OH,"45,214",513-363-4669,SCHOOL & ADOLESCENT HEALTH,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,Summer hours by appointment.  Open to students and Roberts Community,"Adults, Pediatrics, GYN, STI Testing, Nursing Services, Immunizations, Outreach and enrollment services",School Based Health Centers are full service Cincinnati Health Department clinics located in Cincinnati Public Schools. These clinics serve the medical needs of children and families in the school and community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,EAST PRICE HILL,39.1175925272194,-84.5576597189189,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,
Taft High School,CCPC TAFT HIGH SCHOOL,420 EZZARD CHARLES DR,EZZARD CHARLES,DR,CINCINNATI,OH,"45,214",513-363-8330,SCHOOL & ADOLESCENT HEALTH,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,CLOSED FOR SUMMER - Please contact 357-2815 for an appointment,"Pediatrics, GYN, STI Testing, Nursing Services, Immunizations, Outreach and enrollment services",School Based Health Centers are full service Cincinnati Health Department clinics located in Cincinnati Public Schools. These clinics serve the medical needs of children and families in the school and community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,WEST END,39.1095681944162,-84.5225075362395,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,
Walnut Street Health Center,CCPC WALNUT ST CLINIC,1005 WALNUT ST,WALNUT,ST,CINCINNATI,OH,"45,202",513-352-6320,MEDICAL,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,,"Adult medicine, Pediatrics, OB/GYN (incl. Title X), Nursing Services, Immunizations, Lab, Outreach and enrollment assistance",This site is a Federally Qualified Health Center in the Cincinnati Health Department network of Health Centers. These health centers serve the medical needs of children and families in the community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",Yes,DOWNTOWN,39.1068029452155,-84.5128874455103,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,
Western Hills & Dater High School Health Center: Dental,CCPC WESTERN HILLS DE,2146 FERGUSON RD,FERGUSON,RD,CINCINNATI,OH,"45,238",513-363-8706,SCHOOL & ADOLESCENT HEALTH: DENTAL,8:00 AM,2:00 PM,8:00 AM,2:00 PM,8:00 AM,2:00 PM,8:00 AM,2:00 PM,8:00 AM,2:00 PM,,Dental Service,School Based Health Centers are full service Cincinnati Health Department clinics located in Cincinnati Public Schools. These clinics serve the medical needs of children and families in the school and community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,WEST PRICE HILL,39.1247546292318,-84.598734309666,No,Yes,No,No,No,No,No,No,No,No,No,No,No,
Western Hills & Dater High School Health Center,CCPC WESTERNHILLS SBH,2146 FERGUSON RD,FERGUSON,RD,CINCINNATI,OH,"45,238",513-363-8770,SCHOOL & ADOLESCENT HEALTH,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,CLOSED FOR SUMMER - Please contact 357-2815 for an appointment,"Pediatrics, GYN, STI Testing, Nursing Services, Immunizations, Outreach and enrollment services",School Based Health Centers are full service Cincinnati Health Department clinics located in Cincinnati Public Schools. These clinics serve the medical needs of children and families in the school and community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,WEST PRICE HILL,39.1247546292318,-84.598734309666,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,
Withrow University High School Health Center: Dental,CCPC WITHROW DENTAL,2520 MADISON RD,MADISON,RD,CINCINNATI,OH,"45,208",513-363-9110,SCHOOL & ADOLESCENT HEALTH: DENTAL,8:00 AM,2:00 PM,8:00 AM,2:00 PM,8:00 AM,2:00 PM,8:00 AM,2:00 PM,8:00 AM,2:00 PM,,Dental Service,School Based Health Centers are full service Cincinnati Health Department clinics located in Cincinnati Public Schools. These clinics serve the medical needs of children and families in the school and community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,HYDE PARK,39.141336387501,-84.451144381688,No,Yes,No,No,No,No,No,No,No,No,No,No,No,
Withrow University High School Health Center,CCPC WITHROW HIGH SBH,2520 MADISON RD,MADISON,RD,CINCINNATI,OH,"45,208",513-363-9023,SCHOOL & ADOLESCENT HEALTH,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,8:00 AM,4:00 PM,CLOSED FOR SUMMER - Please contact 357-2815 for an appointment,"Pediatrics, GYN, STI Testing, Nursing Services, Immunizations, Outreach and enrollment services",School Based Health Centers are full service Cincinnati Health Department clinics located in Cincinnati Public Schools. These clinics serve the medical needs of children and families in the school and community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,HYDE PARK,39.141336387501,-84.451144381688,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,
The Children's Home dba Levine Family Health Center,CCPC CHILDREN'S HOME,5051 DUCK CREEK RD,DUCK CREEK,RD,CINCINNATI,OH,"45,227",513-527-7300,SCHOOL & ADOLESCENT HEALTH,9:00 AM,5:00 PM,9:00 AM,5:00 PM,,,9:00 AM,5:00 PM,9:00 AM,5:00 PM,Open year round.  Open to students and community.,"Adult medicine, Pediatrics, Immunizations, Lab, STI Testing, Outreach and enrollment assistance; SBHC",School Based Health Centers are full service Cincinnati Health Department clinics located in Cincinnati Public Schools. These clinics serve the medical needs of children and families in the school and community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,MADISONVILLE,39.1640640392163,-84.4089380956056,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,
Bobbie Sterne Health Center Behavioral Health,CCPC ELM ST BH,1525 ELM ST,ELM,ST,CINCINNATI,OH,"45,202",513-352-3092,BEHAVIORAL HEALTH,10:00 AM,7:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,,Behavioral Health services,This site is a Federally Qualified Health Center in the Cincinnati Health Department network of Health Centers. These health centers serve the medical needs of children and families in the community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,OVER-THE-RHINE,39.1121879255939,-84.5193939667898,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,
Northside Health Center Behavioral Health,CCPC NORTHSIDE BH,3917 SPRING GROVE AV,SPRING GROVE,AV,CINCINNATI,OH,"45,223",513-357-7600,BEHAVIORAL HEALTH,8:00 AM,5:00 PM,10:00 AM,7:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,8:00 AM,5:00 PM,,Behavioral Health services,This site is a Federally Qualified Health Center in the Cincinnati Health Department network of Health Centers. These health centers serve the medical needs of children and families in the community.,"We accept all insurance including Medicaid, Caresource, Molina, Buckeye, Paramount, United, and all private insurance. We also accept patients without insurance.",No,NORTHSIDE,39.1574371940226,-84.5406292383239,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,
